#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
-1.391346,2757,603.987171
-1.391346,2757,605.620385
-1.391346,2757,607.222476
-1.391346,2757,608.87603
-1.391346,2757,610.49079
0.634829,2757,613.171654
0.634829,2757,614.883699
0.634829,2757,616.596298
0.634829,2757,618.30273
0.634829,2757,619.976192
-0.787129,2757,622.653273
-0.787129,2757,624.356316
-0.787129,2757,626.080694
-0.787129,2757,627.882714
-0.787129,2757,629.586478
-0.517131,2757,632.11999
-0.517131,2757,633.707959
-0.517131,2757,635.663445
-0.517131,2757,637.261479
-0.517131,2757,638.915082
-0.301349,2757,641.58062
-0.301349,2757,643.655595
-0.301349,2757,645.351237
-0.301349,2757,647.03614
-0.301349,2757,648.733377
13.62314,2757,651.341178
13.62314,2757,653.013265
13.62314,2757,654.656301
13.62314,2757,656.290502
13.62314,2757,657.970299
-0.530854,2757,660.627002
-0.530854,2757,662.296525
-0.530854,2757,663.941856
-0.530854,2757,665.781027
-0.530854,2757,668.037848
2.600064,2757,670.791143
2.600064,2757,672.881944
2.600064,2757,674.999279
2.600064,2757,678.442914
2.600064,2757,680.96446
10.104748,2757,685.694613
10.104748,2757,687.66265
10.104748,2757,689.405382
10.104748,2757,691.226274
10.104748,2757,693.128005
9.430866,2757,696.093538
9.430866,2757,697.76463
9.430866,2757,699.666008
9.430866,2757,701.435199
9.430866,2757,703.397014
5.466723,2757,706.116619
5.466723,2757,707.971165
5.466723,2757,709.630984
5.466723,2757,711.359731
5.466723,2757,712.956413
8.328629,2757,715.416655
8.328629,2757,716.994973
8.328629,2757,718.555286
8.328629,2757,720.142125
8.328629,2757,721.693503
14.271489,2757,724.156014
14.271489,2757,725.773344
14.271489,2757,727.377558
14.271489,2757,728.972037
14.271489,2757,730.515847
12.16208,2757,733.079731
12.16208,2757,734.754672
12.16208,2757,736.521309
12.16208,2757,738.22292
12.16208,2757,739.844885
-3.769922,2757,742.339275
-3.769922,2757,743.857974
-3.769922,2757,745.426485
-3.769922,2757,746.972664
-3.769922,2757,748.495705
1.191804,2757,750.988366
1.191804,2757,752.551095
1.191804,2757,754.067488
1.191804,2757,755.609074
1.191804,2757,757.165329
10.692672,2757,759.730186
10.692672,2757,761.351147
10.692672,2757,762.971843
10.692672,2757,764.592612
10.692672,2757,766.182789
1.996163,2757,768.921929
1.996163,2757,770.59971
1.996163,2757,772.2129
1.996163,2757,773.865785
1.996163,2757,775.477552
-1.702051,2757,778.036397
-1.702051,2757,779.643806
-1.702051,2757,781.240804
-1.702051,2757,782.883698
-1.702051,2757,784.445629
1.848414,2757,786.893479
1.848414,2757,788.428075
1.848414,2757,789.951275
1.848414,2757,791.484869
1.848414,2757,793.045743
2.884046,2757,795.473248
2.884046,2757,797.037584
2.884046,2757,798.568595
2.884046,2757,801.022508
2.884046,2757,802.76117
4.709959,2757,805.44663
4.709959,2757,807.096135
4.709959,2757,808.862507
4.709959,2757,810.423723
4.709959,2757,811.974667
1.157508,2757,814.488105
1.157508,2757,816.139539
1.157508,2757,817.751565
1.157508,2757,819.361338
1.157508,2757,821.002813
1.832935,2757,823.484785
1.832935,2757,825.037611
1.832935,2757,826.571825
1.832935,2757,828.134231
1.832935,2757,829.641595
1.929662,2757,832.334055
1.929662,2757,833.930214
1.929662,2757,835.495399
1.929662,2757,837.130976
1.929662,2757,838.936555
5.32866,2757,841.878144
5.32866,2757,843.56752
5.32866,2757,845.08979
5.32866,2757,846.625051
5.32866,2757,848.160046
13.456834,2757,850.597554
13.456834,2757,852.133573
13.456834,2757,853.657605
13.456834,2757,855.166475
13.456834,2757,856.659308
12.589115,2757,859.04185
12.589115,2757,860.537181
12.589115,2757,862.048624
12.589115,2757,863.587621
12.589115,2757,865.111877
2.270046,2757,867.644385
2.270046,2757,869.318231
2.270046,2757,871.176625
2.270046,2757,872.845497
2.270046,2757,874.450757
2.459369,2757,876.961649
2.459369,2757,878.543256
2.459369,2757,880.128301
2.459369,2757,881.708153
2.459369,2757,883.275375
2.978653,2757,885.770012
2.978653,2757,887.349639
2.978653,2757,888.948421
2.978653,2757,890.552344
2.978653,2757,892.167725
3.581809,2757,894.582721
3.581809,2757,896.128713
3.581809,2757,897.667235
3.581809,2757,899.206286
3.581809,2757,900.730748
2.679939,2757,903.393605
2.679939,2757,905.005163
2.679939,2757,906.624545
2.679939,2757,908.197252
2.679939,2757,909.794626
2.915388,2757,912.292723
2.915388,2757,913.921983
2.915388,2757,915.551876
2.915388,2757,917.153687
2.915388,2757,918.749117
0.513264,2757,921.265883
0.513264,2757,922.841764
0.513264,2757,924.429019
0.513264,2757,926.010879
0.513264,2757,927.557049
